price,location,bedroom,bathroom,garage,floorSize,propertyType
2495000.0,Claremont Upper,2.0,1.0,2.0,100.0,Apartment
6495000.0,Claremont,4.0,3.0,5.0,818.0,House
2700000.0,Ottery,4.0,3.0,4.0,595.0,House
1350000.0,Oranjezicht,1.0,1.0,,41.0,Apartment
1800000.0,Kenilworth Upper,2.0,2.0,1.0,70.0,Apartment
4950000.0,Mouille Point,2.0,1.0,1.0,89.0,Apartment
2050000.0,Rondebosch,2.0,1.0,1.0,75.0,Apartment
2495000.0,Marina Da Gama,3.0,2.0,1.0,394.0,House
4999000.0,Woodstock,3.0,2.0,1.0,404.0,House
960000.0,Claremont Upper,0.5,1.0,,36.0,Apartment
2650000.0,Tamboerskloof,2.0,2.0,,115.0,Apartment
30000000.0,Sea Point,3.0,3.5,3.0,684.0,Apartment
3400000.0,Mowbray,4.0,2.0,5.0,565.0,House
1450000.0,Dreyersdal Estate,2.0,1.0,1.0,59.0,Apartment
2750000.0,Sea Point,2.0,1.0,1.0,72.0,Apartment
3795000.0,Woodstock,3.0,2.0,,238.0,House
1295000.0,Cape Town City Centre,0.5,1.0,1.0,47.0,Apartment
2450000.0,Woodstock,1.0,2.0,3.0,117.0,Apartment
5900000.0,Newlands,3.0,2.5,2.0,628.0,House
26100000.0,Cape Town City Centre,4.0,4.0,2.0,251.0,Apartment
1595000.0,Rosebank,1.0,1.0,1.0,70.0,Apartment
2600000.0,Claremont Upper,2.0,2.0,1.0,93.0,Apartment
1695000.0,Cape Town City Centre,,1.0,2.0,59.0,Apartment
1850000.0,Observatory,2.0,1.0,1.0,129.0,House
5995000.0,Newlands,2.0,2.0,1.0,195.0,Apartment
2450000.0,Plumstead,3.0,2.0,1.0,496.0,House
5750000.0,Claremont Upper,3.0,2.0,3.0,362.0,House
2250000.0,Vredehoek,2.0,1.0,1.0,89.0,Apartment
3200000.0,Vredehoek,2.0,2.0,,90.0,Apartment
7950000.0,Sea Point,3.0,2.0,2.0,213.0,Apartment
2450000.0,Woodstock,1.0,2.0,2.0,117.0,Apartment
2250000.0,Kirstenhof,3.0,2.0,2.0,258.0,House
10650000.0,Constantia,4.0,4.0,4.0,692.0,House
1350000.0,Zonnebloem,1.0,1.0,1.0,46.0,Apartment
4295000.0,Devils Peak Estate,3.0,2.5,2.0,114.0,Apartment
1750000.0,Oranjezicht,1.0,1.0,,58.0,Apartment
1350000.0,Woodstock,1.0,1.0,1.0,38.0,Apartment
1545000.0,Kirstenhof,2.0,1.0,,68.0,Townhouse
13000000.0,Bantry Bay,2.0,2.0,1.0,149.0,Apartment
3200000.0,Rondebosch,2.0,1.0,2.0,125.0,Apartment
3900000.0,Sea Point,1.0,1.0,1.0,90.0,Apartment
5800000.0,Fresnaye,3.0,2.0,2.0,108.0,Apartment
4500000.0,Claremont,4.0,2.0,4.0,571.0,House
2195000.0,Claremont,3.0,2.0,1.0,144.0,Townhouse
2250000.0,Plumstead,3.0,2.0,4.0,395.0,House
2800000.0,Foreshore,1.0,1.0,1.0,55.0,Apartment
1995000.0,Woodstock,1.0,1.0,1.0,55.0,Apartment
1850000.0,Observatory,3.0,2.0,,129.0,House
2995000.0,Observatory,3.0,2.0,1.0,168.0,House
1269000.0,Wynberg Upper,1.0,1.0,1.0,,Apartment
849000.0,Capricorn,2.0,1.0,1.0,45.0,Apartment
2990000.0,Claremont Upper,2.0,2.0,2.0,92.0,Apartment
3095000.0,Green Point,2.0,1.0,1.0,88.0,Apartment
2390000.0,Gardens,1.0,1.0,1.0,60.0,Apartment
7900000.0,Tamboerskloof,4.0,3.0,1.0,397.0,House
820000.0,Maitland,2.0,1.0,1.0,48.0,Apartment
10750000.0,Cape Town City Centre,3.0,3.0,2.0,172.0,Apartment
8750000.0,Claremont Upper,4.0,4.5,4.0,496.0,House
2150000.0,Sea Point,2.0,1.0,,81.0,Apartment
2295000.0,Claremont,1.0,1.0,1.0,68.0,Apartment
22900000.0,Clifton,3.0,2.0,2.0,402.0,Apartment
